show_id,type,title,director,cast,date_added,release_year,rating,duration,listed_in,plataforma,age_category,genres
s7399,Movie,Manolo: The Boy Who Made Shoes for Lizards,Michael Roberts,"Manolo Blahnik, Anna Wintour, AndrÃ© Leon Talley, Paloma Picasso, Candace Bushnell, Iman, Rihanna, Naomi Campbell, Isaac Mizrahi, Rupert Everett, Sofia Coppola, John Galliano",2018-01-15,2017,TV-MA,89 min,"Documentaries, International Movies",netflix,Para adultos,"['Documentaries', ' International Movies']"
s7400,Movie,Mansfield Park,Patricia Rozema,"Frances O'Connor, Embeth Davidtz, Jonny Lee Miller, Alessandro Nivola, Harold Pinter, Lindsay Duncan, Sheila Gish, James Purefoy, Victoria Hamilton, Hugh Bonneville",2020-01-01,1999,PG-13,112 min,"Comedies, Dramas, International Movies",netflix,Para adolescentes,"['Comedies', ' Dramas', ' International Movies']"
s7401,Movie,Mantostaan,Rahat Kazmi,"Raghuvir Yadav, Veerendra Saxena, Sonal Sehgal, Aaditya Pratap Singh, Rahat Kazmi, Raina Bassnet, Sakshi Bhat",2017-12-15,2017,TV-MA,75 min,"Dramas, Independent Movies, International Movies",netflix,Para adultos,"['Dramas', ' Independent Movies', ' International Movies']"
s7402,Movie,Mantra,Nicholas Kharkongor,"Rajat Kapoor, Lushin Dubey, Kalki Koechlin, Shiv Pandit, Adil Hussain, Rohan Joshi, Yuri Suri, Maya Krishna Rao",2017-12-15,2017,TV-14,89 min,"Dramas, Independent Movies, International Movies",netflix,Para adolescentes,"['Dramas', ' Independent Movies', ' International Movies']"
s7403,Movie,Mara,Clive Tonge,"Olga Kurylenko, Javier Botet, Mitch Eakins, Lance E. Nichols, Rosie Fellner, Mackenzie Imsand, Dandy Barrett, Craig Conway, Melissa Bolona",2019-01-05,2017,TV-MA,99 min,"Horror Movies, Thrillers",netflix,Para adultos,"['Horror Movies', ' Thrillers']"
s7404,Movie,Marauders,Steven C. Miller,"Bruce Willis, Christopher Meloni, Dave Bautista, Adrian Grenier, Johnathon Schaech, Lydia Hull, Tyler Jon Olson, Christopher Rob Bowen, Richie Chance",2020-12-01,2016,R,107 min,Action & Adventure,netflix,Para adultos,['Action & Adventure']
s7405,TV Show,Marching Orders,Desconocido,No Disponible,2018-08-03,2018,TV-14,1 Season,Docuseries,netflix,Para adolescentes,['Docuseries']
s7406,Movie,Mark Gatiss: A Study in Sherlock,Nathan Landeg,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves, Mark Gatiss, Steven Moffat",2016-05-01,2016,TV-14,29 min,Movies,netflix,Para adolescentes,['Movies']
s7407,TV Show,Maron,Desconocido,"Marc Maron, Judd Hirsch, Josh Brener, Nora Zehetner, Andy Kindler",,2016,TV-MA,4 Seasons,TV Comedies,netflix,Para adultos,['TV Comedies']
s7408,Movie,Maroon,Pulkit,"Manav Kaul, Devyani Cm, Saurabh Sachdeva, Sarika Singh, Suneel Sinha, Sumeet Vyas",2017-02-01,2016,TV-MA,94 min,"Dramas, Independent Movies, International Movies",netflix,Para adultos,"['Dramas', ' Independent Movies', ' International Movies']"
s7409,TV Show,Married at First Sight,Desconocido,"Viviana Coles, Calvin Roberson, Pepper Schwartz",2020-04-13,2019,TV-14,1 Season,"Reality TV, Romantic TV Shows",netflix,Para adolescentes,"['Reality TV', ' Romantic TV Shows']"
s7410,TV Show,Mars,Everardo Gout,"Jihae, Alberto Ammann, ClÃ©mentine Poidatz, Anamaria Marinca, Sammi Rotibi, Nicholas Wittman, Cosima Shaw",2019-11-01,2018,TV-PG,2 Seasons,"Docuseries, Science & Nature TV, TV Dramas",netflix,Para niños mayores,"['Docuseries', ' Science & Nature TV', ' TV Dramas']"
s7411,Movie,Martial Arts of Shaolin,Chia-Liang Liu,"Jet Li, Jianqiang Hu, Qiuyan Huang, Qingfu Pan, Yu Chenghui, Yu Hai, Jianwen Zhang",2018-08-16,1986,R,90 min,"Action & Adventure, International Movies",netflix,Para adultos,"['Action & Adventure', ' International Movies']"
s7412,Movie,Martin Lawrence Live: Runteldat,David Raynr,Martin Lawrence,2019-12-01,2002,R,104 min,Stand-Up Comedy,netflix,Para adultos,['Stand-Up Comedy']
s7413,Movie,Martin Luther: The Idea that Changed the World,David Batty,Hugh Bonneville,2018-01-01,2017,TV-PG,55 min,"Documentaries, Faith & Spirituality",netflix,Para niños mayores,"['Documentaries', ' Faith & Spirituality']"
s7414,Movie,Martyrs of Marriage,Deepika Narayan Bhardwaj,No Disponible,2018-03-15,2016,TV-14,83 min,"Documentaries, International Movies",netflix,Para adolescentes,"['Documentaries', ' International Movies']"
s7415,Movie,Marvel & ESPN Films Present: 1 of 1: Genesis,Eric Drath,"Manny Pacquiao, Michael Smith, Tony Hawk, Esther Howard, Alex Morgan, Danica Patrick, Russell Wilson, Carmelo Anthony, Dwight Howard, Joe Quesada, Albert Pujols, Brandi Chastain, Cal Ripken Jr.",2015-03-15,2014,TV-PG,77 min,"Documentaries, Sports Movies",netflix,Para niños mayores,"['Documentaries', ' Sports Movies']"
s7416,Movie,Marvel's Iron Man & Hulk: Heroes United,"Leo Riley, Eric Radomski","Adrian Pasdar, Fred Tatasciore, Dee Bradley Baker, Robin Atkin Downes, David Kaye",2014-02-16,2013,PG,72 min,"Action & Adventure, Sci-Fi & Fantasy",netflix,Para niños mayores,"['Action & Adventure', ' Sci-Fi & Fantasy']"
s7417,Movie,Mary and the Witch's Flower,Hiromasa Yonebayashi,"Ruby Barnhill, Kate Winslet, Jim Broadbent, Ewen Bremner, Lynda Baron, Louis Ashbourne Serkis, Morwenna Banks, Teresa Gallagher, Rasmus Hardiker",2018-07-17,2017,PG,103 min,"Anime Features, Children & Family Movies",netflix,Para niños mayores,"['Anime Features', ' Children & Family Movies']"
s7418,Movie,Mary Poppins Returns,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Pixie Davies, Nathanael Saleh, Joel Dawson, Julie Walters, Meryl Streep, Colin Firth, Dick Van Dyke",2019-07-09,2018,PG,131 min,"Children & Family Movies, Music & Musicals",netflix,Para niños mayores,"['Children & Family Movies', ' Music & Musicals']"
s7419,TV Show,Mary Portas: Secret Shopper,Desconocido,Mary Portas,2019-07-26,2016,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV",netflix,Para adolescentes,"['British TV Shows', ' International TV Shows', ' Reality TV']"
s7420,Movie,Masoom,Shekhar Kapur,"Shabana Azmi, Naseeruddin Shah, Saeed Jaffrey, Jugal Hansraj, Urmila Matondkar, Aradhana Srivastav, Tanuja, Supriya Pathak",2019-12-31,1983,TV-14,138 min,"Dramas, Independent Movies, International Movies",netflix,Para adolescentes,"['Dramas', ' Independent Movies', ' International Movies']"
s7421,Movie,Master,Ui-seok Jo,"Byung-hun Lee, Dong-won Gang, Woo-bin Kim, Ji-won Uhm, Dal-su Oh, Kyung Jin, Gang Dong-won",2018-02-01,2016,NR,143 min,"Action & Adventure, International Movies",netflix,Desconocido,"['Action & Adventure', ' International Movies']"
s7422,Movie,Mater,Pablo D'Alo Abba,"Lautaro Perotti, Tamara Kiper, Inda Lavalle, Miriam Odorico, Araceli Dvoskin, Gonzalo Ruiz, Patricio Aranguren, Marina Bellati, Luciana Fuks, Martin Slipak",2018-08-01,2017,TV-MA,80 min,"Dramas, Independent Movies, International Movies",netflix,Para adultos,"['Dramas', ' Independent Movies', ' International Movies']"
s7423,Movie,Matichya Chuli,"Sudesh Manjrekar, Atul Kale","Sudhir Joshi, Vandana Gupte, Ankush Chaudhari, Madhura Velankar, Sanjay Mone, Anand Abhyankar",2018-02-15,2006,TV-14,132 min,"Comedies, Dramas, International Movies",netflix,Para adolescentes,"['Comedies', ' Dramas', ' International Movies']"
